route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1878,1,158351,CHATHAM PLAZA,,0,14072,13977,0,0
1878,1,158340,CHATHAM PLAZA,,0,14073,13979,0,0
1878,1,158341,CHATHAM PLAZA,,0,14072,13979,0,0
1878,1,158343,CHATHAM PLAZA,,0,14073,13979,0,0
1878,1,158344,CHATHAM PLAZA,,0,14072,13979,0,0
1878,1,158346,CHATHAM PLAZA,,0,14073,13979,0,0
1878,1,158347,CHATHAM PLAZA,,0,14072,13979,0,0
1878,1,158349,CHATHAM PLAZA,,0,14073,13979,0,0
1878,1,158350,CHATHAM PLAZA,,0,14072,13979,0,0
1878,1,158352,CHATHAM PLAZA,,0,14073,13980,0,0
1878,1,158353,CHATHAM PLAZA,,0,14072,13980,0,0
1878,1,158354,CHATHAM PLAZA,,0,14073,13980,0,0
1878,1,158355,CHATHAM PLAZA,,0,14072,13980,0,0
1878,1,158356,CHATHAM PLAZA,,0,14073,13979,0,0
1878,1,158357,CHATHAM PLAZA,,0,14072,13979,0,0
1878,1,158359,CHATHAM PLAZA,,0,14073,13979,0,0
1878,1,158360,CHATHAM PLAZA,,0,14072,13979,0,0
1878,1,158361,CHATHAM PLAZA,,0,14072,13980,0,0
1878,1,158362,CHATHAM PLAZA TO DOWNTOWN,,1,14072,13981,0,0
1878,1,158363,CHATHAM PLAZA TO DOWNTOWN,,1,14073,13981,0,0
1878,1,158364,CHATHAM PLAZA TO DOWNTOWN,,1,14072,13981,0,0
1878,1,158365,CHATHAM PLAZA TO DOWNTOWN,,1,14073,13981,0,0
1878,1,158368,INTERMODAL TRANSIT CENTER,,1,14072,13982,0,0
1878,1,158367,CHATHAM PLAZA TO DOWNTOWN,,1,14073,13981,0,0
1878,1,158369,INTERMODAL TRANSIT CENTER,,1,14072,13982,0,0
1878,1,158370,CHATHAM PLAZA TO DOWNTOWN,,1,14073,13981,0,0
1878,1,158371,INTERMODAL TRANSIT CENTER,,1,14072,13982,0,0
1878,1,158372,INTERMODAL TRANSIT CENTER,,1,14073,13985,0,0
1878,1,158381,INTERMODAL TRANSIT CENTER,,1,14072,13984,0,0
1878,1,158374,INTERMODAL TRANSIT CENTER,,1,14073,13985,0,0
1878,1,158382,INTERMODAL TRANSIT CENTER,,1,14072,13984,0,0
1878,1,158376,CHATHAM PLAZA TO DOWNTOWN,,1,14073,13981,0,0
1878,1,158378,INTERMODAL TRANSIT CENTER,,1,14072,13982,0,0
1878,1,158377,CHATHAM PLAZA TO DOWNTOWN,,1,14073,13981,0,0
1878,1,158379,INTERMODAL TRANSIT CENTER,,1,14072,13982,0,0
1878,1,158380,INTERMODAL TRANSIT CENTER,,1,14072,13985,0,0
1880,1,158827,WALMART ON 17,,0,14476,13988,0,0
1880,1,158843,WALMART ON 17,,0,14477,13988,0,0
1880,1,164377,WALMART ON 17,,0,14476,13988,0,0
1880,1,164380,WALMART ON 17,,0,14477,13988,0,0
1880,1,164383,WALMART ON 17,,0,14476,13988,0,0
1880,1,164384,WALMART ON 17,,0,14477,13988,0,0
1880,1,164388,WALMART ON 17,,0,14476,13988,0,0
1880,1,164391,WALMART ON 17,,0,14477,13988,0,0
1880,1,164392,WALMART ON 17,,0,14476,13988,0,0
1880,1,164395,WALMART ON 17,,0,14477,13988,0,0
1880,1,164396,WALMART ON 17,,0,14476,13988,0,0
1880,1,164398,WALMART ON 17,,0,14477,13988,0,0
1880,1,164401,WALMART ON 17,,0,14476,13988,0,0
1880,1,164402,WALMART ON 17,,0,14477,13988,0,0
1880,1,164405,WALMART ON 17,,0,14476,13988,0,0
1880,1,164376,HODGSON MEMORIAL,,1,14476,13990,0,0
1880,1,164379,HODGSON MEMORIAL,,1,14477,13990,0,0
1880,1,164381,HODGSON MEMORIAL,,1,14476,13990,0,0
1880,1,164382,HODGSON MEMORIAL,,1,14477,13990,0,0
1880,1,164385,HODGSON MEMORIAL,,1,14476,13990,0,0
1880,1,164389,HODGSON MEMORIAL,,1,14477,13990,0,0
1880,1,164390,HODGSON MEMORIAL,,1,14476,13990,0,0
1880,1,164393,HODGSON MEMORIAL,,1,14477,13990,0,0
1880,1,164394,HODGSON MEMORIAL,,1,14476,13990,0,0
1880,1,164397,HODGSON MEMORIAL,,1,14477,13990,0,0
1880,1,164399,HODGSON MEMORIAL,,1,14476,13990,0,0
1880,1,164400,HODGSON MEMORIAL,,1,14477,13990,0,0
1880,1,164403,HODGSON MEMORIAL,,1,14476,13990,0,0
1880,1,164404,HODGSON MEMORIAL,,1,14477,13990,0,0
1881,1,158941,PENN WALLER & JOHNNY MERCER,,0,14115,13994,0,0
1881,1,158942,PENN WALLER & JOHNNY MERCER,,0,14116,13994,0,0
1881,1,158943,PENN WALLER & JOHNNY MERCER,,0,14115,13994,0,0
1881,1,158944,PENN WALLER & JOHNNY MERCER,,0,14116,13994,0,0
1881,1,158945,PENN WALLER & JOHNNY MERCER,,0,14115,13994,0,0
1881,1,158946,PENN WALLER & JOHNNY MERCER,,0,14116,13994,0,0
1881,1,158947,PENN WALLER & JOHNNY MERCER,,0,14115,13994,0,0
1881,1,158948,PENN WALLER & JOHNNY MERCER,,0,14116,13994,0,0
1881,1,158949,PENN WALLER & JOHNNY MERCER,,0,14115,13994,0,0
1881,1,158950,PENN WALLER & JOHNNY MERCER,,0,14116,13994,0,0
1881,1,158951,PENN WALLER & JOHNNY MERCER,,0,14115,13994,0,0
1881,1,158952,PENN WALLER & JOHNNY MERCER,,0,14116,13994,0,0
1881,1,158953,PENN WALLER & JOHNNY MERCER,,0,14115,13994,0,0
1881,1,155737,ISLAND TOWNE CENTRE,,0,14116,13993,0,0
1881,1,155738,ISLAND TOWNE CENTRE,,0,14115,13993,0,0
1881,1,155739,GREGORY & RIVERVIEW,,0,14115,13992,0,0
1881,1,155740,GREGORY & RIVERVIEW,,0,14115,13992,0,0
1881,1,155754,INTERMODAL TRANSIT CENTER,,1,14115,13995,0,0
1881,1,155756,INTERMODAL TRANSIT CENTER,,1,14116,13998,0,0
1881,1,158954,INTERMODAL TRANSIT CENTER,,1,14115,13997,0,0
1881,1,158955,INTERMODAL TRANSIT CENTER,,1,14116,13997,0,0
1881,1,158956,INTERMODAL TRANSIT CENTER,,1,14115,13997,0,0
1881,1,158957,INTERMODAL TRANSIT CENTER,,1,14116,13997,0,0
1881,1,158958,INTERMODAL TRANSIT CENTER,,1,14115,13997,0,0
1881,1,158959,INTERMODAL TRANSIT CENTER,,1,14116,13997,0,0
1881,1,158960,INTERMODAL TRANSIT CENTER,,1,14115,13997,0,0
1881,1,158961,INTERMODAL TRANSIT CENTER,,1,14116,13997,0,0
1881,1,158962,INTERMODAL TRANSIT CENTER,,1,14115,13997,0,0
1881,1,158963,INTERMODAL TRANSIT CENTER,,1,14116,13997,0,0
1881,1,158964,INTERMODAL TRANSIT CENTER,,1,14115,13997,0,0
1881,1,158965,INTERMODAL TRANSIT CENTER,,1,14116,13997,0,0
1881,1,158966,INTERMODAL TRANSIT CENTER,,1,14115,13997,0,0
1881,1,155753,INTERMODAL TRANSIT CENTER,,1,14115,13996,0,0
1881,1,155755,INTERMODAL TRANSIT CENTER,,1,14115,13995,0,0
1882,1,155774,EISENHOWER,,0,13901,13999,0,0
1882,1,155775,EISENHOWER,,0,13901,14000,0,0
1882,1,155776,EISENHOWER,,0,13901,14000,0,0
1882,1,155777,EISENHOWER,,0,13902,14000,0,0
1882,1,155778,EISENHOWER,,0,13902,14000,0,0
1882,1,155779,INTERMODAL TRANSIT CENTER,,1,13901,14001,0,0
1882,1,155780,INTERMODAL TRANSIT CENTER,,1,13901,14001,0,0
1882,1,155782,INTERMODAL TRANSIT CENTER,,1,13902,14001,0,0
1882,1,155783,INTERMODAL TRANSIT CENTER,,1,13902,14001,0,0
1883,1,158410,ISLAND TOWNE CENTRE VIA SSU,,0,14076,14002,0,0
1883,1,158412,ISLAND TOWNE CENTRE VIA SSU,,0,14078,14002,0,0
1883,1,158413,ISLAND TOWNE CENTRE VIA SSU,,0,14077,14002,0,0
1883,1,158339,ISLAND TOWNE CENTRE VIA SSU,,0,14076,14002,0,0
1883,1,158422,SAVANNAH STATE UNIVERSITY,,0,14078,14003,0,0
1883,1,158420,ISLAND TOWNE CENTRE VIA SSU,,0,14077,14002,0,0
1883,1,158426,ISLAND TOWNE CENTRE VIA SSU,,0,14076,14002,0,0
1883,1,158427,ISLAND TOWNE CENTRE VIA SSU,,0,14077,14002,0,0
1883,1,158430,ISLAND TOWNE CENTRE VIA SSU,,0,14076,14002,0,0
1883,1,158431,ISLAND TOWNE CENTRE VIA SSU,,0,14077,14002,0,0
1883,1,158434,ISLAND TOWNE CENTRE VIA SSU,,0,14076,14002,0,0
1883,1,158435,ISLAND TOWNE CENTRE VIA SSU,,0,14077,14002,0,0
1883,1,158440,ISLAND TOWNE CENTRE VIA SSU,,0,14076,14002,0,0
1883,1,158441,ISLAND TOWNE CENTRE VIA SSU,,0,14079,14002,0,0
