service_id,date,exception_type
1101,20170710,1
1101,20170711,1
2801,20170711,1
1101,20170712,1
1101,20170713,1
501,20170714,1
2801,20170714,1
1101,20170717,1
1101,20170718,1
2801,20170718,1
1101,20170719,1
1101,20170720,1
501,20170721,1
2801,20170721,1
1101,20170724,1
1101,20170725,1
2801,20170725,1
1101,20170726,1
1101,20170727,1
501,20170728,1
2801,20170728,1
1101,20170731,1
